ID, PrimeNumber
1, 2
2, 3
3, 5
4, 7
5, 9
6, 11
7, 13
8, 15
9, 17
10, 19
11, 21
12, 23
13, 25
14, 27
15, 29
16, 31
17, 33
18, 35
19, 37
20, 39
21, 41
22, 43
23, 45
24, 47
25, 51
26, 53
27, 55
28, 57
29, 59
30, 61
31, 65
32, 67
33, 69
34, 71
35, 73
36, 75
37, 79
38, 83
39, 85
40, 87
41, 89
42, 93
43, 95
44, 97
45, 101
46, 103
47, 107
48, 109
49, 111
50, 113
51, 115
52, 123
53, 125
54, 127
55, 129
56, 131
57, 137
58, 139
59, 141
60, 145
61, 149
62, 151
63, 155
64, 157
65, 159
66, 163
67, 167
68, 173
69, 177
70, 179
71, 181
72, 183
73, 185
74, 191
75, 193
76, 197
77, 199
78, 201
79, 205
80, 211
81, 213
82, 215
83, 219
84, 223
85, 227
86, 229
87, 233
88, 235
89, 237
90, 239
91, 241
92, 249
93, 251
94, 257
95, 263
96, 265
97, 267
98, 269
99, 271
100, 277
101, 281
102, 283
103, 291
104, 293
105, 295
106, 303
107, 305
108, 307
109, 309
110, 311
111, 313
112, 317
113, 321
114, 327
115, 331
116, 335
117, 337
118, 339
119, 347
120, 349
121, 353
122, 355
123, 359
124, 365
125, 367
126, 373
127, 379
128, 381
129, 383
130, 389
131, 393
132, 395
133, 397
134, 401
135, 409
136, 411
137, 415
138, 417
139, 419
140, 421
141, 431
142, 433
143, 439
144, 443
145, 445
146, 447
147, 449
148, 453
149, 457
150, 461
151, 463
152, 467
153, 471
154, 479
155, 485
156, 487
157, 489
158, 491
159, 499
160, 501
161, 503
162, 505
163, 509
164, 515
165, 519
166, 521
167, 523
168, 535
169, 537
170, 541
171, 543
172, 545
173, 547
174, 557
175, 563
176, 565
177, 569
178, 571
179, 573
180, 577
181, 579
182, 587
183, 591
184, 593
185, 597
186, 599
187, 601
188, 607
189, 613
190, 617
191, 619
192, 631
193, 633
194, 635
195, 641
196, 643
197, 647
198, 653
199, 655
200, 659
201, 661
202, 669
203, 673
204, 677
205, 681
206, 683
207, 685
208, 687
209, 691
210, 695
211, 699
212, 701
213, 709
214, 717
215, 719
216, 723
217, 727
218, 733
219, 739
220, 743
221, 745
222, 751
223, 753
224, 755
225, 757
226, 761
227, 769
228, 771
229, 773
230, 785
231, 787
232, 789
233, 797
234, 807
235, 809
236, 811
237, 813
238, 815
239, 821
240, 823
241, 827
242, 829
243, 831
244, 835
245, 839
246, 843
247, 849
248, 853
249, 857
250, 859
251, 863
252, 865
253, 877
254, 879
255, 881
256, 883
257, 887
258, 895
259, 905
260, 907
261, 911
262, 919
263, 921
264, 929
265, 933
266, 937
267, 939
268, 941
269, 947
270, 951
271, 953
272, 955
273, 965
274, 967
275, 971
276, 977
277, 983
278, 985
279, 991
280, 993
281, 995
282, 997
