ID, 素数
1, 2
2, 1433
3, 8573
4, 5003
5, 4289
6, 3
7, 719
8, 5
9, 3221
10, 8219
11, 6791
12, 8933
13, 4649
14, 7
15, 6079
16, 8221
17, 9649
18, 7507
19, 4651
20, 1439
21, 3581
22, 2153
23, 9293
24, 5009
25, 7151
26, 367
27, 3583
28, 7867
29, 8581
30, 5011
31, 4297
32, 11
33, 727
34, 13
35, 1087
36, 1801
37, 3229
38, 3943
39, 4657
40, 8941
41, 373
42, 1447
43, 2161
44, 7873
45, 7159
46, 17
47, 1091
48, 733
49, 3947
50, 6089
51, 6803
52, 7517
53, 8231
54, 19
55, 1093
56, 2521
57, 6091
58, 9661
59, 4663
60, 1451
61, 3593
62, 7877
63, 6449
64, 5021
65, 379
66, 1453
67, 7879
68, 5737
69, 5023
70, 23
71, 1097
72, 1811
73, 7523
74, 5381
75, 8951
76, 383
77, 5741
78, 7883
79, 8597
80, 9311
81, 743
82, 1459
83, 2887
84, 5743
85, 8599
86, 29
87, 1103
88, 2531
89, 6101
90, 7529
91, 5387
92, 8243
93, 4673
94, 31
95, 389
96, 2179
97, 3607
98, 5749
99, 7177
100, 9319
101, 751
102, 1109
103, 1823
104, 3251
105, 5393
106, 4679
107, 8963
108, 9677
109, 37
110, 3967
111, 2539
112, 3253
113, 7537
114, 6823
115, 9679
116, 2897
117, 5039
118, 8609
119, 9323
120, 397
121, 1471
122, 3613
123, 4327
124, 6469
125, 41
126, 757
127, 2543
128, 3257
129, 7541
130, 6827
131, 5399
132, 8969
133, 43
134, 401
135, 1117
136, 1831
137, 3259
138, 6829
139, 8971
140, 3617
141, 2903
142, 7901
143, 7187
144, 6473
145, 761
146, 47
147, 2549
148, 7547
149, 6833
150, 4691
151, 9689
152, 1123
153, 2551
154, 7549
155, 6121
156, 5407
157, 8263
158, 1481
159, 3623
160, 2909
161, 7907
162, 4337
163, 5051
164, 7193
165, 409
166, 1483
167, 4339
168, 6481
169, 9337
170, 8623
171, 53
172, 769
173, 1129
174, 2557
175, 3271
176, 6841
177, 5413
178, 9697
179, 0
180, 1487
181, 9341
182, 8627
183, 773
184, 1489
185, 2203
186, 2917
187, 5059
188, 9343
189, 8629
190, 59
191, 1847
192, 3989
193, 7559
194, 6131
195, 5417
196, 4703
197, 8273
198, 61
199, 419
200, 7561
201, 6133
202, 5419
203, 1493
204, 2207
205, 7919
206, 4349
207, 6491
208, 421
209, 3637
210, 5779
211, 7207
212, 9349
213, 67
214, 1499
215, 2213
216, 2927
217, 5783
218, 7211
219, 3643
220, 7927
221, 4357
222, 7213
223, 8641
224, 71
225, 787
226, 4001
227, 6857
228, 6143
229, 8999
230, 73
231, 431
232, 1861
233, 4003
234, 7573
235, 5431
236, 8287
237, 9001
238, 433
239, 2221
240, 7933
241, 4363
242, 5077
243, 7219
244, 8647
245, 1151
246, 4007
247, 2579
248, 7577
249, 6863
250, 4721
251, 8291
252, 9719
253, 79
254, 1153
255, 1867
256, 6151
257, 5437
258, 4723
259, 8293
260, 9007
261, 9721
262, 1511
263, 2939
264, 5081
265, 7937
266, 439
267, 797
268, 83
269, 1871
270, 4013
271, 3299
272, 7583
273, 6869
274, 5441
275, 8297
276, 9011
277, 443
278, 1873
279, 3301
280, 6871
281, 5443
282, 4729
283, 9013
284, 3659
285, 4373
286, 5801
287, 5087
288, 7229
289, 9371
290, 89
291, 1163
292, 1877
293, 4019
294, 2591
295, 7589
296, 4733
297, 449
298, 1879
299, 4021
300, 2593
301, 3307
302, 7591
303, 6163
304, 5449
305, 1523
306, 9733
307, 2237
308, 5807
309, 7949
310, 6521
311, 809
312, 9377
313, 8663
314, 2239
315, 2953
316, 7237
317, 7951
318, 811
319, 97
320, 1171
321, 4027
322, 3313
323, 6883
324, 8311
325, 9739
326, 2243
327, 2957
328, 3671
329, 5813
330, 5099
331, 457
332, 8669
333, 1531
334, 3673
335, 101
336, 5101
337, 7243
338, 6529
339, 1889
340, 6173
341, 9029
342, 9743
343, 103
344, 461
345, 3319
346, 7603
347, 8317
348, 2963
349, 3677
350, 4391
351, 821
352, 463
353, 7247
354, 2251
355, 107
356, 5821
357, 5107
358, 1181
359, 823
360, 7963
361, 9391
362, 8677
363, 2609
364, 3323
365, 7607
366, 4751
367, 9749
368, 109
369, 467
370, 2969
371, 827
372, 4397
373, 7253
374, 8681
375, 1543
376, 2971
377, 113
378, 829
379, 5827
380, 5113
381, 1187
382, 1901
383, 9397
384, 3329
385, 6899
386, 5471
387, 9041
388, 2617
389, 3331
390, 4759
391, 9043
392, 8329
393, 1549
394, 3691
395, 1193
396, 1907
397, 6547
398, 9403
399, 2621
400, 8689
401, 4049
402, 5477
403, 479
404, 4051
405, 7621
406, 6907
407, 1553
408, 5479
409, 2267
410, 9049
411, 839
412, 4409
413, 6551
414, 8693
415, 2269
416, 3697
417, 5839
418, 1913
419, 6553
420, 6911
421, 6197
422, 5483
423, 9767
424, 127
425, 1201
426, 3343
427, 4057
428, 1559
429, 6199
430, 2273
431, 3701
432, 9769
433, 487
434, 5843
435, 9413
436, 8699
437, 131
438, 2633
439, 3347
440, 6917
441, 6203
442, 9059
443, 491
444, 5849
445, 4421
446, 6563
447, 9419
448, 1567
449, 2281
450, 3709
451, 137
452, 853
453, 5851
454, 4423
455, 7993
456, 9421
457, 8707
458, 139
459, 1213
460, 1571
461, 7639
462, 6211
463, 4783
464, 2999
465, 9067
466, 8353
467, 9781
468, 499
469, 857
470, 7283
471, 6569
472, 2287
473, 3001
474, 859
475, 1217
476, 1931
477, 5857
478, 6571
479, 3359
480, 8713
481, 4073
482, 7643
483, 5501
484, 4787
485, 503
486, 1933
487, 2647
488, 3361
489, 6217
490, 5503
491, 3719
492, 4789
493, 9787
494, 863
495, 5147
496, 5861
497, 9431
498, 1579
499, 2293
500, 149
501, 1223
502, 6577
503, 9433
504, 4079
505, 8719
506, 7649
507, 6221
508, 5507
509, 4793
510, 151
511, 8363
512, 9791
513, 509
514, 1583
515, 2297
516, 3011
517, 5153
518, 5867
519, 8009
520, 6581
521, 9437
522, 3727
523, 1229
524, 5869
525, 4441
526, 7297
527, 8011
528, 2657
529, 9439
530, 3371
531, 4799
532, 157
533, 8369
534, 1231
535, 2659
536, 3373
537, 6229
538, 4801
539, 3733
540, 3019
541, 877
542, 1949
543, 4447
544, 8017
545, 2663
546, 4091
547, 8731
548, 6947
549, 5519
550, 163
551, 521
552, 9803
553, 1237
554, 1951
555, 4093
556, 6949
557, 2309
558, 3023
559, 5521
560, 9091
561, 523
562, 8377
563, 881
564, 5879
565, 4451
566, 7307
567, 1597
568, 2311
569, 167
570, 883
571, 5167
572, 5881
573, 7309
574, 8737
575, 2671
576, 4099
577, 1601
578, 7669
579, 5527
580, 4813
581, 887
582, 9811
583, 5171
584, 4457
585, 6599
586, 8741
587, 173
588, 3389
589, 7673
590, 6959
591, 5531
592, 4817
593, 8387
594, 1249
595, 2677
596, 3391
597, 1607
598, 6961
599, 6247
600, 9103
601, 8389
602, 9817
603, 4463
604, 9461
605, 8747
606, 1609
607, 3037
608, 179
609, 5179
610, 7321
611, 6607
612, 9463
613, 181
614, 2683
615, 4111
616, 1613
617, 3041
618, 7681
619, 6967
620, 541
621, 9109
622, 5897
623, 8039
624, 9467
625, 8753
626, 1973
627, 1259
628, 2687
629, 6971
630, 6257
631, 2689
632, 1619
633, 2333
634, 3761
635, 7687
636, 4831
637, 547
638, 9829
639, 5189
640, 5903
641, 7331
642, 9473
643, 1621
644, 191
645, 3049
646, 907
647, 1979
648, 2693
649, 7333
650, 3407
651, 6619
